hts,desc
74072190,"Copper-zinc base alloys (brass), bars and rods nesoi, not having a rectangular cross section"
74072916,"Copper alloys, hollow profiles"
74072934,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), profiles (other than hollow profiles)"
74072938,"Copper alloys (other than cupro-nickel or nickel silver), profiles (other than hollow profiles)"
74072940,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), bars and rods"
74072950,"Copper alloys (other than brass, cupro-nickel or nickel silver), bars and rods"
74081130,"Refined copper, wire, with maximum cross-sectional dimension over 9.5 mm"
74081160,"Refined copper, wire, with maximum cross-sectional dimension over 6 mm but not over 9.5 mm"
74081900,"Refined copper, wire, with maximum cross-sectional dimension of 6 mm or less"
74082100,"Copper-zinc base alloys (brass), wire"
74082210,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), wire, coated or plated with metal"
74082250,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), wire, not coated or plated with metal"
74082910,"Copper alloys (other than brass, cupro-nickel or nickel-silver), wire, coated or plated with metal"
74082950,"Copper alloys (other than brass, cupro-nickel or nickel-silver), wire, not coated or plated with metal"
74091110,"Refined copper, plates, sheets and strip, in coils, with a thickness of 5 mm or more"
74091150,"Refined copper, plates, sheets and strip, in coils, with a thickness over 0.15mm but less than 5 mm 11"
74091910,"Refined copper, plates, sheets and strip, not in coils, with a thickness of 5 mm or more"
74091950,"Refined copper, plates, sheets and strip, not in coils, with a thickness of 0.15 mm or more but less than 5 mm and with a width of 500 mm or more"
74091990,"Refined copper, plates, sheets and strip, not in coils, with a thickness of 0.15 mm or more but less than 5 mm and with a width of less than 500 mm"
74092100,"Copper-zinc base alloys (brass), plates, sheets and strip, in coils"
74092900,"Copper-zinc base alloys (brass), plates, sheets and strip, not in coils"
74093110,"Copper-tin base alloys (bronze), plates, sheets and strip, in coils, with a thickness of 5 mm or more"
74093150,"Copper-tin base alloys (bronze), plates, sheets and strip, in coils, with a thickness of 0.15 mm or more but less than 5 mm and with a width of 500 mm or more"
74093190,"Copper-tin base alloys (bronze), plates, sheets and strip, in coils, with a thickness of 0.15 mm or more but less than 5 mm and with a width of less than 500 mm"
74093910,"Copper-tin base alloys (bronze), plates, sheets and strip, with a thickness of 5 mm or more"
74093950,"Copper-tin base alloys (bronze), plates, sheets and strip, with a thickness of 0.15 mm or more but less than 5 mm and with a width of 500 mm or more"
74093990,"Copper-tin base alloys (bronze), plates, sheets and strip, with a thickness of 0.15 mm or more but less than 5 mm and with a width of less than 500 mm"
74094000,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver), plates, sheets and strip, with a thickness of 0.15 mm or more"
74099010,"Copper alloys (other than brass, bronze, cupro-nickel or nickel silver), plates, sheets and strip, with a thickness of 5 mm or more"
74099050,"Copper alloys (other than brass, bronze, cupro-nickel or nickel silver), plates, sheets and strip, with a thickness of 0.15 mm or more but less than 5 mm and with a width of 500 mm or more"
74099090,"Copper alloys (other than brass, bronze, cupro-nickel or nickel silver), plates, sheets and strip, with a thickness of 0.15 mm or more but less than 5 mm and with a width of less than 500 mm"
74101100,"Refined copper, foil, with a thickness of 0.15 mm or less, not backed"
74101200,"Copper alloys, foil, with a thickness of 0.15 mm or less, not backed"
74102130,"Refined copper, clad laminates, with a thickness of 0.15 mm or less, backed"
74102160,"Refined copper, foil, with a thickness of 0.15 mm or less, backed"
74102200,"Copper alloys, foil, with a thickness of 0.15 mm or less, backed"
74111010,"Refined copper, tubes and pipes, seamless"
74111050,"Refined copper, tubes and pipes, other than seamless"
74112110,"Copper-zinc base alloys (brass), tubes and pipes, seamless"
74112150,"Copper-zinc base alloys (brass), tubes and pipes, other than seamless"
74112200,"Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel-silver), tubes and pipes"
74112910,"Copper alloys (other than brass, cupro-nickel or nickel-silver), pipes and tubes, seamless 12"
74112950,"Copper alloys (other than brass, cupro-nickel or nickel-silver), pipes and tubes, other than seamless"
74121000,"Refined copper, fittings for tubes and pipes"
74122000,"Copper alloys, fittings for tubes and pipes"
74130010,"Copper, stranded wire, not electrically insulated, not fitted with fittings and not made up into articles"
74130050,"Copper, cables, plaited bands and the like, not fitted with fittings and not made up into articles"
