hts,desc
87019110,"Other tractors of engine power not exceeding 18 kW, for agricultural use"
87019150,"Other tractors of engine power not exceeding 18 kW, not for agricultural use"
87019210,"Other tractors of engine power exceeding 18 kW but not exceeding 37 kW, for agricultural use"
87019250,"Other tractors of engine power exceeding 18 kW but not exceeding 37 kW, not for agricultural use"
87019310,"Other tractors of engine power exceeding 37 kW but not exceeding 75 kW, for agricultural use"
87019350,"Other tractors of engine power exceeding 37 kW but not exceeding 75 kW, not for agricultural use"
87019410,"Other tractors of engine power exceeding 75 kW but not exceeding 130 kW, for agricultural use 22"
87019450,"Other tractors of engine power exceeding 75 kW but not exceeding 130 kW, not for agricultural use"
87019510,"Other tractors of engine power exceeding130 kW, for agricultural use"
87019550,"Other tractors of engine power exceeding130 kW, not for agricultural use"
87021031,"Motor vehicles with diesel engine, to transport 16 or more persons, including driver"
87021061,"Motor vehicles with diesel engine, to transport 10 to 15 persons, including driver"
87031010,Motor vehicles specially designed for traveling on snow
87031050,Golf carts and similar motor vehicles
87032101,"Motor vehicles to transport persons, with spark-ignition internal-combustion piston engines, of a cylinder capacity not exceeding 1,000 cc"
87051000,"Motor vehicles (other than for transport of persons or of goods), mobile cranes"
87052000,"Motor vehicles (other than for transport of persons or of goods), mobile drilling derricks"
87060030,"Chassis fitted with engines, for tractors suitable for agricultural use"
87081030,"Parts and accessories for motor vehicles of headings 8701 to 8705, bumpers"
87082921,Body stampings for tractors suitable for agriculture
87084030,"Parts and accessories of tractors suitable for agricultural use, gear boxes"
87084060,"Parts and accessories of tractors suitable for agricultural use, parts for gear boxes"
87089210,"Parts and accessories of tractors suitable for agricultural use, mufflers and exhaust pipes"
87089250,"Parts and accessories of motor vehicles of heading 8701, nesoi, and of headings 8702–8705, mufflers and exhaust pipes"
87089260,"Parts and accessories, nesoi, of tractors suitable for agricultural use, parts of mufflers"
87089275,"Parts and accessories, nesoi, of motor vehicles of heading 8701, nesoi, and of headings 8702–8705, parts of mufflers, nesoi"
87089315,"Parts and accessories of tractors suitable for agricultural use, clutches"
87089330,"Parts and accessories of tractors suitable for agricultural use, parts of clutches"
87089923,"Parts and accessories, nesoi, of tractors suitable for agricultural use"
87089981,"Parts and accessories, nesoi, of motor vehicles of heading 8701, nesoi, and of headings 8702–8705"
87161000,"Trailers and semi-trailers, not mechanically propelled, for housing or camping"
87163900,"Trailers and semi-trailers, not mechanically propelled, nesoi, for the transport of goods"
87168010,"Farm wagons and carts, not mechanically propelled"
87168050,"Vehicles, not mechanically propelled, nesoi"
87169010,Parts of farm wagons and carts
87169030,"Parts of vehicles, not mechanically propelled, castors (other than castors of heading 8302)"
87169050,Other parts for trailers and semi-trailers
9403999020,"Welded wire-rack decking, whether or not galvanized, plated or coated 23"
94062000,Prefabricated buildings of steel
94069001,"Prefabricated buildings, not of wood or steel, nesoi 24"
7615102015,"Aluminum cast bakeware (cookware not suitable for stovetop use), enameled, glazed, or containing nonstick interior finishes"
7615102025,"Cast aluminum cooking and kitchen ware, nesoi, enameled, glazed, or containing nonstick interior finishes"
7615103015,"Aluminum bakeware (cookware not suitable for stovetop use), enameled or glazed, or containing nonstick interior finishes, not cast"
7615103025,"Aluminum cooking and kitchen ware, enameled or glazed, or containing nonstick interior finishes, not cast"
7615105020,"Cast aluminum bakeware (cookware not suitable for stovetop use), not enameled or glazed or containing nonstick interior finishes"
7615105040,"Cast aluminum cooking and kitchenware, not enameled or glazed or containing nonstick interior finishes"
7615107125,"Aluminum containers suitable for food preparation, baking, reheating or storage, 0.04 mm or more but not over 0.22 mm in thickness"
7615107130,"Aluminum bakeware (cookware not suitable for stovetop use), not cast, not enameled or glazed and not containing nonstick interior finishes"
