hts8,s232_rate,category
8482105056,50.0,Steel-Derivative
8705900010,50.0,Steel-Derivative
84122100,50.0,Steel-Derivative
8482105060,50.0,Steel-Derivative
8705900020,50.0,Steel-Derivative
84122980,50.0,Steel-Derivative
8482105064,50.0,Steel-Derivative
87060030,50.0,Steel-Derivative
8482105068,50.0,Steel-Derivative
87084030,50.0,Steel-Derivative
8482200064,50.0,Steel-Derivative
87084060,50.0,Steel-Derivative
84138100,50.0,Steel-Derivative
8482200067,50.0,Steel-Derivative
87089210,50.0,Steel-Derivative
8413919055,50.0,Steel-Derivative
8482200090,50.0,Steel-Derivative
87089250,50.0,Steel-Derivative
8413919060,50.0,Steel-Derivative
84829905,50.0,Steel-Derivative
87089260,50.0,Steel-Derivative
8413919096,50.0,Steel-Derivative
84829915,50.0,Steel-Derivative
87089275,50.0,Steel-Derivative
84143040,50.0,Steel-Derivative
84829925,50.0,Steel-Derivative
87089315,50.0,Steel-Derivative
84829935,50.0,Steel-Derivative
87089330,50.0,Steel-Derivative
84149030,50.0,Steel-Derivative
84829945,50.0,Steel-Derivative
87089923,50.0,Steel-Derivative
84149041,50.0,Steel-Derivative
84829965,50.0,Steel-Derivative
87089981,50.0,Steel-Derivative
84151030,50.0,Steel-Derivative
8483101010,50.0,Steel-Derivative
87100000,50.0,Steel-Derivative
84151060,50.0,Steel-Derivative
8483101050,50.0,Steel-Derivative
87113000,50.0,Steel-Derivative
84151090,50.0,Steel-Derivative
84831050,50.0,Steel-Derivative
87115000,50.0,Steel-Derivative
84158101,50.0,Steel-Derivative
84832040,50.0,Steel-Derivative
87116000,50.0,Steel-Derivative
84158201,50.0,Steel-Derivative
84832080,50.0,Steel-Derivative
87141000,50.0,Steel-Derivative
84158300,50.0,Steel-Derivative
84833040,50.0,Steel-Derivative
87161000,50.0,Steel-Derivative
84159040,50.0,Steel-Derivative
84833080,50.0,Steel-Derivative
87163900,50.0,Steel-Derivative
84159080,50.0,Steel-Derivative
84834010,50.0,Steel-Derivative
87168010,50.0,Steel-Derivative
8417900000,50.0,Steel-Derivative
87168050,50.0,Steel-Derivative
84182100,50.0,Steel-Derivative
84834090,50.0,Steel-Derivative
87169010,50.0,Steel-Derivative
84182920,50.0,Steel-Derivative
84835060,50.0,Steel-Derivative
87169030,50.0,Steel-Derivative
84189940,50.0,Steel-Derivative
84835090,50.0,Steel-Derivative
94017100,50.0,Steel-Derivative
84198150,50.0,Steel-Derivative
84836040,50.0,Steel-Derivative
3827610000,50.0,Steel-Derivative
84212900,50.0,Steel-Derivative
84836080,50.0,Steel-Derivative
3827620000,50.0,Steel-Derivative
8424100000,50.0,Steel-Derivative
84839020,50.0,Steel-Derivative
94039910,50.0,Steel-Derivative
3827630000,50.0,Steel-Derivative
84839030,50.0,Steel-Derivative
3827640000,50.0,Steel-Derivative
84254200,50.0,Steel-Derivative
84839050,50.0,Steel-Derivative
3827650000,50.0,Steel-Derivative
84262000,50.0,Steel-Derivative
84839070,50.0,Steel-Derivative
39252000,50.0,Steel-Derivative
84269900,50.0,Steel-Derivative
84839080,50.0,Steel-Derivative
39269010,50.0,Steel-Derivative
84271040,50.0,Steel-Derivative
85015340,50.0,Steel-Derivative
9403999051,50.0,Steel-Derivative
84271080,50.0,Steel-Derivative
85015360,50.0,Steel-Derivative
9403999061,50.0,Steel-Derivative
8202390040,50.0,Steel-Derivative
84272040,50.0,Steel-Derivative
85015380,50.0,Steel-Derivative
95069100,50.0,Steel-Derivative
82034060,50.0,Steel-Derivative
84272080,50.0,Steel-Derivative
82055955,50.0,Steel-Derivative
84279000,50.0,Steel-Derivative
82057000,50.0,Steel-Derivative
84283200,50.0,Steel-Derivative
85030035,50.0,Steel-Derivative
8207200070,50.0,Steel-Derivative
84283300,50.0,Steel-Derivative
85030045,50.0,Steel-Derivative
8207306062,50.0,Steel-Derivative
84283900,50.0,Steel-Derivative
85030065,50.0,Steel-Derivative
8207306095,50.0,Steel-Derivative
84286000,50.0,Steel-Derivative
85030075,50.0,Steel-Derivative
82111000,50.0,Steel-Derivative
84287000,50.0,Steel-Derivative
85030090,50.0,Steel-Derivative
82119110,50.0,Steel-Derivative
84289003,50.0,Steel-Derivative
85030095,50.0,Steel-Derivative
7406,50.0,Copper
7407,50.0,Copper
7408,50.0,Copper
7409,50.0,Copper
7410,50.0,Copper
7411,50.0,Copper
7412,50.0,Copper
7413,50.0,Copper
7414,50.0,Copper
7415,50.0,Copper
7416,50.0,Copper
7417,50.0,Copper
7418,50.0,Copper
7419,50.0,Copper
854442,50.0,Copper
854449,50.0,Copper
847150,25.0,Semiconductors
847180,25.0,Semiconductors
847330,25.0,Semiconductors
8701,25.0,Auto-MHDV
8704,25.0,Auto-MHDV
8705,25.0,Auto-MHDV
8706,25.0,Auto-MHDV
8708,25.0,Auto-MHDV
8702,10.0,Buses
4403,10.0,Wood-Lumber
4406,10.0,Wood-Lumber
4407,10.0,Wood-Lumber
9401614011,25.0,Wood-Furniture/Cabinets
9401614031,25.0,Wood-Furniture/Cabinets
9401616011,25.0,Wood-Furniture/Cabinets
9401616031,25.0,Wood-Furniture/Cabinets
9403409060,25.0,Wood-Furniture/Cabinets
9403608093,25.0,Wood-Furniture/Cabinets
9403910080,25.0,Wood-Furniture/Cabinets
7206,25.0,Steel
7207,25.0,Steel
7208,25.0,Steel
7209,25.0,Steel
7210,25.0,Steel
7211,25.0,Steel
7212,25.0,Steel
7213,25.0,Steel
7214,25.0,Steel
7215,25.0,Steel
