HTS,clean_hts,Heading,s301_rate
0304.48.00,03044800,9903.88.03,25.0
0304.49.01,03044901,9903.88.03,25.0
0304.51.01,03045101,9903.88.03,25.0
0304.52.00,03045200,9903.88.03,25.0
0304.53.00,03045300,9903.88.03,25.0
0304.54.00,03045400,9903.88.03,25.0
0304.55.00,03045500,9903.88.03,25.0
0304.56.00,03045600,9903.88.03,25.0
0304.57.00,03045700,9903.88.03,25.0
0304.59.00,03045900,9903.88.03,25.0
0304.61.00,03046100,9903.88.03,25.0
0304.62.00,03046200,9903.88.03,25.0
0304.63.00,03046300,9903.88.03,25.0
0304.69.00,03046900,9903.88.03,25.0
0304.72.50,03047250,9903.88.03,25.0
0304.73.10,03047310,9903.88.03,25.0
0304.73.50,03047350,9903.88.03,25.0
0304.74.10,03047410,9903.88.03,25.0
0304.74.50,03047450,9903.88.03,25.0
0304.79.10,03047910,9903.88.03,25.0
0304.79.50,03047950,9903.88.03,25.0
0304.82.10,03048210,9903.88.03,25.0
0304.82.50,03048250,9903.88.03,25.0
0304.83.10,03048310,9903.88.03,25.0
0304.83.50,03048350,9903.88.03,25.0
0304.84.00,03048400,9903.88.03,25.0
0304.85.00,03048500,9903.88.03,25.0
0304.86.00,03048600,9903.88.03,25.0
0304.87.00,03048700,9903.88.03,25.0
0304.88.00,03048800,9903.88.03,25.0
0304.89.10,03048910,9903.88.03,25.0
0304.89.50,03048950,9903.88.03,25.0
0304.91.10,03049110,9903.88.03,25.0
0304.91.90,03049190,9903.88.03,25.0
0304.92.10,03049210,9903.88.03,25.0
0304.92.90,03049290,9903.88.03,25.0
0304.93.10,03049310,9903.88.03,25.0
0304.93.90,03049390,9903.88.03,25.0
0304.94.90,03049490,9903.88.03,25.0
0304.95.10,03049510,9903.88.03,25.0
0304.96.00,03049600,9903.88.03,25.0
0304.97.00,03049700,9903.88.03,25.0
0304.99.11,03049911,9903.88.03,25.0
0304.99.91,03049991,9903.88.03,25.0
0305.20.20,03052020,9903.88.03,25.0
0305.20.40,03052040,9903.88.03,25.0
0305.31.01,03053101,9903.88.03,25.0
0305.32.00,03053200,9903.88.03,25.0
0305.39.20,03053920,9903.88.03,25.0
0305.39.40,03053940,9903.88.03,25.0
0305.39.61,03053961,9903.88.03,25.0
0305.41.00,03054100,9903.88.03,25.0
0305.42.00,03054200,9903.88.03,25.0
0305.43.00,03054300,9903.88.03,25.0
0305.44.01,03054401,9903.88.03,25.0
0305.49.20,03054920,9903.88.03,25.0
0305.49.40,03054940,9903.88.03,25.0
0305.51.00,03055100,9903.88.03,25.0
0305.52.00,03055200,9903.88.03,25.0
0305.53.00,03055300,9903.88.03,25.0
0305.54.00,03055400,9903.88.03,25.0
0305.59.00,03055900,9903.88.03,25.0
0305.61.20,03056120,9903.88.03,25.0
0305.61.40,03056140,9903.88.03,25.0
0305.62.00,03056200,9903.88.03,25.0
0305.63.20,03056320,9903.88.03,25.0
0305.63.40,03056340,9903.88.03,25.0
0305.63.60,03056360,9903.88.03,25.0
0305.64.10,03056410,9903.88.03,25.0
0305.64.50,03056450,9903.88.03,25.0
0305.69.10,03056910,9903.88.03,25.0
0305.69.20,03056920,9903.88.03,25.0
0305.69.30,03056930,9903.88.03,25.0
0305.69.40,03056940,9903.88.03,25.0
0305.69.50,03056950,9903.88.03,25.0
0305.69.60,03056960,9903.88.03,25.0
0305.71.00,03057100,9903.88.03,25.0
0305.72.00,03057200,9903.88.03,25.0
0305.79.00,03057900,9903.88.03,25.0
0306.11.00,03061100,9903.88.03,25.0
0306.12.00,03061200,9903.88.03,25.0
0306.14.20,03061420,9903.88.03,25.0
0306.14.40,03061440,9903.88.03,25.0
0306.15.00,03061500,9903.88.03,25.0
0306.16.00,03061600,9903.88.03,25.0
0306.17.00,03061700,9903.88.03,25.0
0306.19.01,03061901,9903.88.03,25.0
0306.31.00,03063100,9903.88.03,25.0
0306.32.00,03063200,9903.88.03,25.0
0306.33.20,03063320,9903.88.03,25.0
0306.33.40,03063340,9903.88.03,25.0
0306.34.00,03063400,9903.88.03,25.0
0306.35.00,03063500,9903.88.03,25.0
0306.36.00,03063600,9903.88.03,25.0
0306.39.01,03063901,9903.88.03,25.0
0306.91.00,03069100,9903.88.03,25.0
0306.92.00,03069200,9903.88.03,25.0
0306.93.20,03069320,9903.88.03,25.0
0306.93.40,03069340,9903.88.03,25.0
0306.94.00,03069400,9903.88.03,25.0
0306.95.00,03069500,9903.88.03,25.0
0306.99.01,03069901,9903.88.03,25.0
0307.11.00,03071100,9903.88.03,25.0
0307.12.00,03071200,9903.88.03,25.0
0307.19.01,03071901,9903.88.03,25.0
0307.21.00,03072100,9903.88.03,25.0
0307.22.00,03072200,9903.88.03,25.0
